comment,date,author,like_count,reply_count
Phoolan devi is good ese logo ko ke liye esa he bana chaiye,2023-01-18T08:51:42Z,x-abhi,2,0
Next ; marianne bachmeier,2023-01-18T07:56:39Z,chokey's dairy,0,0
"Heyyy can you please make a video about ""Marianne Bachmeier""...ig she deserves it...n ik only uk narrate her story in such an excellent way. Thank you✨",2023-01-18T06:07:52Z,♡kimdivya♡,1,0
Very good explaining bro,2023-01-18T03:12:30Z,Techzi Tech,0,0
😮😮😮😮,2023-01-17T21:58:30Z,indranee bakshi,0,0
"Aap please horror story series v banao na, aapki awaaz mein bohot jyada achha lagega 🔥❣️",2023-01-17T19:48:13Z,NISH'S CHANNEL 📚📝,0,0
Great woman phullan Devi 💯💯,2023-01-17T18:56:07Z,Yrb Creation,0,0
Sher Singh Rana brought ashes of Prithvi Raj Chauhan,2023-01-17T18:49:37Z,Pathak Tech,1,0
Explain junko futura case in japan.,2023-01-17T18:35:44Z,Shrikant Durge,1,0
"We are from Morena near chambal
My grandfather have friends in ghati
They met with bandit queen when she  shot 24 men",2023-01-17T18:32:22Z,Pathak Tech,1,0
Her story break my heart but it's give me inspiration to move forward in life.,2023-01-17T17:48:44Z,NIMMY Giogi,0,0
Sher Singh Rana 😘😘😘💕💕💕💪💪💪,2023-01-17T17:46:43Z,Krishna kumar,0,0
thanks for information but it was not the jealous it was revenge. You kill mine parents & i will make you feel hell.,2023-01-17T17:43:48Z,@mr.singh🇮🇳,1,0
Wanna biopic of phoolon devi,2023-01-17T17:36:08Z,RS Riadul Islam,0,0
Make a video on junko furuta,2023-01-17T16:17:44Z,maryam iqbal,0,0
Hiii you are my favorite ❤️ and I want favour from you to make a video on a mother | Marianne Bachmeier | mother killed the killer of her 7 years old daughter in the court itself please please,2023-01-17T16:09:04Z,Pixiesomi,0,0
"SHRINKHAL, I SENT YOU A CASE RECOMMENDATION ON INSTAGRAM",2023-01-17T15:05:54Z,xyz zxy,0,0
Now please Tell us about Boss SHER SINGH RANA 🔥,2023-01-17T14:30:46Z,Uday Rajput,0,0
"Yes I watched that movie .
She was strongest woman .",2023-01-17T13:11:30Z,jyoti malik,1,0
Next video about Marianne bachmeier,2023-01-17T13:10:09Z,sakura :-),0,0
Bahut badiya kam kat rae ho bhai😊,2023-01-17T12:22:49Z,Manisha Lim,0,0
Still phulan Devi ko itne murder  karne k baad neta  bna diya gya or apne revenge poora karne k liye bande ko tihar jail bhj diya gya,2023-01-17T12:13:06Z,Gulshan Bansal,1,0
Bro hang gong ji pe bhi banao ek video  movie h ye but real incident based h,2023-01-17T11:53:29Z,anas taiyab,0,0
Phoolan Devi was great bahut accha kiye unhone rapist log ko ese hi goli marna chahiye beech chaurahe me bahut sahi kiya unhone,2023-01-17T11:43:29Z,Akshat Lekam,2,0
Thankyou for showing a devil women like a Hero.,2023-01-17T11:22:45Z,Goofy aah Cat,2,0
Brootherr i like your content soo much but i have to ask ye nails pe kya lga rkha hai,2023-01-17T11:18:40Z,Daku,0,0
You don't even know who sher singh rana is!,2023-01-17T11:14:08Z,INSAAN,1,0
The same Phoolan Devi of Raja Kolandar's story?,2023-01-17T10:52:25Z,hasty dree,0,0
